Portafolio proyecto "MediStore",Portafolio de análisis y diseño de proyecto web,HTML/CSS/JS,https://andersondavidpc.github.io/Portafolio_PhoenixTeam_AyD/
Freelance Task Manager,Script de manejo de cobros y estados de tareas de clientes,Python,https://github.com/AndersonDavidPC/Freelancer_Task_Manager
Visualización de datos poblacionales,Este proyecto proporciona herramientas para la visualización de datos utilizando gráficos de barras y gráficos circulares,Python,https://github.com/AndersonDavidPC/data_population
Análisis de reviews,Análisis de correlación en las reviews de Amazon sobre Aparatos de cuidado personal,Jupyter Notebook/Python,https://github.com/AndersonDavidPC/Amazon_reviews
Ordenamiento recursivo,Método recursivo para ordenar una lista de números,Jupyter Notebook/Python,https://github.com/AndersonDavidPC/Ordenamiento-recursivo
Algoritmo A*,Algoritmo de búsqueda A*,JavaScript/HTML,https://andersondavidpc.github.io/AlgoritmoAEstrella/
Detección de Temperatura,Circuito con Arduino capaz de medir la temperatura en tiempo real,Arduino/C++,https://github.com/AndersonDavidPC/Arduino-temperatura-y-humedad
Piedra-Papel-Tijera,El juego permite al usuario jugar contra la computadora al mejor de tres rondas,Python,https://github.com/AndersonDavidPC/piedra-papel-tijera
